縣市,Location,類型,Class,遊憩據點,Scenic Spots,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,小計,地址
彰化縣,"Confucius Temple, Chunghua",其他,"Confucius Temple, Chunghua",彰化孔子廟,"Confucius Temple, Chunghua",1645,1637,2831,2404,2887,2556,2526,4276,3642,1952,2934,1709,3431,2849,3175,2859,3349,3135,2119,4212,2708,2006,2598,2081,3187,2772,2764,3406,4746,4490,7191,5753,4615,3939,3756,1561,4749,3279,3678,5311,4559,7203,7892,6416,6922,5303,4769,2415,4514,3542,3772,49368,3827,2643,3496,4671,1784,2144,15411,1159,2776,1959,1207,4593,2984,2797,4156,3579,2724,2967,3018,3289,4481,3229,3821,5865,2608,4587,3093,4214,3068,2909,3648,2799,3807,3609,3461,4634,3404,3353,2997,4318,2693,1724,2781,1946,2444,2471,1953,3921,2043,2208,2717,2371,2438,1406,3027,1581,2196,2296,2272,2092,2287,1648,2156,2598,2781,2086,2498,2529,2140,2336,2031,2543,3237,2263,2504,2359,2306,1745,2356,1751,2193,2413,2078,1923,2920,2003,1885,1349,1337,1828,2013,1849,2008,2517,1869,1774,1939,1844,1955,1955,724,0,67,398,783,1812,1765,2868,1748,1252,1766,1720,1444,1300,1996,1685,1577,3045,2117,2685,2329,2420,2332,3903,2938,2956,1639,2895,3205,570237,500彰化縣彰化市孔門路30號
彰化縣,Tienwei Highway Garden,其他,Tienwei Highway Garden,田尾公路花園,Tienwei Highway Garden,115000,75000,70000,50000,750000,95000,90000,70000,80000,70000,85000,115000,110000,76000,75000,51000,85000,680000,87000,70000,75000,70000,84000,122000,98000,73500,74000,511000,86000,690000,90000,70000,72000,78000,85000,120000,95000,94000,75000,520000,700000,80000,90000,65000,70000,75000,86000,130000,110000,95000,76000,140000,200000,1080000,95000,70000,60000,60000,50000,80000,90000,92000,120000,130000,300000,600000,150000,70000,60000,40000,35000,45000,42000,93000,95000,39000,120000,530000,92700,35500,34400,29876,29455,6935,48560,84000,110150,92216,85215,561600,41100,72200,41511,30500,36230,36850,46602,78410,73727,150235,426384,188896,124240,114864,101640,25810,43790,39252,40335,123540,127100,180360,146820,430540,132660,126600,43365,41130,42945,31770,63945,94260,80680,156380,125360,574182,124050,135750,68440,47400,42690,44295,54210,124400,146980,122600,416409,153940,120426,69960,47996,44076,60028,65618,70757,82538,73885,80589,90648,102886,60770,45756,23155,0,1806,31603,29254,64300,158500,155300,87200,231800,74500,68100,36400,33800,25100,24500,30550,65100,64400,94000,225000,80400,88300,82500,68700,60100,59800,58300,61200,22170085,522彰化縣田尾鄉民族路一段156號
彰化縣,Sijhou Park,其他,Sijhou Park,溪州公園,Sijhou Park,8604,14182,12751,11081,270713,94646,15855,12799,15822,12161,17335,13566,14660,19000,47572,15468,17381,263516,19949,23140,15753,12267,12762,11368,12527,84075,22775,16452,16521,403093,19098,55130,18213,13982,14082,12240,37201,22711,17857,22598,376484,71595,22725,22650,14657,17629,23846,17687,12744,17239,13346,17975,14711,423566,37677,12085,21637,16212,11159,25037,26082,18344,23375,17646,95585,617072,57568,59875,30376,355227,156520,35044,51132,39875,139411,23237,41572,579413,278685,146630,100700,86966,51644,26818,33931,110100,77528,33941,33247,684813,44175,54334,36683,27500,17882,25432,29656,5954,117316,33237,331233,357521,41208,55788,45864,15436,17779,29284,35701,0,817907,49995,8331,1137182,188945,77666,54477,39220,40938,30302,26918,26115,37756,70778,6325,874968,59157,75659,36623,32283,25587,31861,30929,99319,66311,51758,486934,406607,43366,39445,33310,25363,26151,30556,29456,74162,89563,70598,32606,235297,47909,52383,13153,0,8035,21961,36380,41897,83617,59161,24819,768943,39437,30950,14020,15061,15982,9839,204343,181142,26820,18829,758534,256105,25496,34655,12576,15229,4701,8845,13607,16771060,524彰化縣溪州鄉中央路三段138號
彰化縣,TAIWAN GLASS GALLERY,其他,TAIWAN GLASS GALLERY,臺灣玻璃館,TAIWAN GLASS GALLERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62962,211473,100958,120780,109595,109954,98708,101756,104060,118908,103032,83464,51704,118453,108153,109595,121284,154519,135188,148076,135808,168564,169040,122740,103828,208800,101276,106020,110836,92376,99460,88376,84600,116020,107720,107332,97876,216132,97004,114716,112364,120180,117404,102948,111926,141832,87976,76836,92944,84420,62860,87924,86366,62604,77388,82500,60500,94336,67527,64407,57514,105984,65294,95787,65134,71396,79928,60724,62841,64642,51463,60280,44221,87548,61163,63981,61824,76358,64702,61031,69348,72869,62542,60103,78844,44984,34969,31982,46118,76508,72265,78670,70885,111341,89669,79758,83394,115926,80438,86853,33415,0,0,15850,31649,53146,40599,37785,18619,46166,24661,21517,10067,14360,26002,28744,26976,32679,24847,21525,54793,37475,35425,37817,33991,29070,37528,37998,29108,10167481,505彰化縣鹿港鎮鹿工南四路30號
彰化縣,Rail Roundhouse,其他,Rail Roundhouse,扇形車庫,Rail Roundhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30478,43466,32532,16743,18187,33183,31147,33199,28373,34454,30640,28666,32642,31172,20794,11411,1931,9384,8687,9127,14452,32636,26474,32360,35149,44710,32143,40792,14072,0,0,0,0,0,30104,35412,32892,49595,37838,31468,15011,21119,45124,44367,30617,36314,28745,36594,52442,45295,31535,61279,34256,31624,38055,37632,28766,1595088,300新竹市東區300
南投縣,Tataka Recreation Area,國家公園,Tataka Recreation Area,塔塔加遊憩區,Tataka Recreation Area,38699,59699,65061,60330,95725,68185,76367,78056,84006,65840,87955,14872,0,1859,6866,17253,60993,46066,50119,16037,15238,10272,30816,27734,18218,17838,24132,42892,49317,61982,43243,71926,28763,51772,43636,52362,34033,40835,38486,44258,83806,59526,63451,71541,64384,19312,34755,17392,25217,39252,53688,50449,58010,102555,63474,65522,55806,47415,39634,41606,51046,56146,58063,50601,23433,45814,61971,56986,32070,37898,46162,55488,42999,61292,52062,46600,43433,61152,54853,57846,38945,49843,53847,49312,54671,58502,60641,48285,51240,61405,48557,56881,58233,65750,76204,72615,36008,56123,59461,85401,70775,58918,45162,54127,54432,27781,62427,58894,38800,59142,64086,80962,64502,33911,51136,56037,50017,40728,44841,42422,43306,42754,32886,39888,27352,34907,35222,35030,20767,34606,35373,22122,51528,70039,61916,48972,51931,46890,48327,47220,50851,78256,96966,68315,58332,79345,63976,60554,57816,68858,64606,64482,51361,14145,17509,28293,47107,66647,59182,63887,53805,53650,50503,54448,28376,51825,74884,66486,43477,66930,66468,58534,59370,51336,55614,59633,48063,55010,57581,34340,36349,9113681,556南投縣信義鄉太平巷118號
南投縣,Headquarters Visitor Center,國家公園,Headquarters Visitor Center,玉山管理處遊客服務中心,Headquarters Visitor Center,5945,8533,6859,7077,11967,5725,7645,9536,10606,9086,12488,9752,7214,8856,7301,9202,15610,9200,7746,9877,7794,7335,10212,10011,6161,8223,7106,10275,11177,9032,8530,14350,8060,8357,10396,11007,8081,12465,12465,10863,13262,9460,9322,10362,10233,10338,13533,10098,9042,9670,10719,16931,14978,9523,9128,9833,8567,10890,10853,11071,9828,12708,10034,12272,14730,9810,9243,9781,9228,9695,13358,12543,9284,11083,11351,10771,20934,10058,8206,8834,7389,11922,13691,10018,10799,8569,12703,9219,16377,10283,8499,8443,8130,9251,9472,10032,9181,7442,8533,17248,13886,9741,9308,7180,7726,7253,9666,6857,7173,7401,9040,7625,11857,8459,5983,8302,6585,6388,8756,8591,6803,6103,7703,2195,11190,11363,9086,8806,10814,9319,10718,9276,7502,9474,8179,9109,13130,6426,5554,5946,6291,8255,10560,14369,10399,15137,17943,13099,20647,12426,9732,11425,16145,0,122,1423,2624,4334,6729,7013,12002,4817,4805,3826,2427,2844,4013,3743,3565,4529,3810,5271,5931,8036,4446,4557,4790,4705,5040,3314,2928,1645435,553南投縣水里鄉中山路一段515號
南投縣,The Sunmoonlake Scenic Area,國家級風景特定區,The Sunmoonlake Scenic Area,日月潭環潭區,The Sunmoonlake Scenic Area,74822,229891,126629,146911,296169,541517,201752,222511,191135,96828,150385,145362,176821,189347,194153,214153,487192,719891,640769,729443,633353,493519,594874,584031,293061,425710,403707,376086,254449,791068,476228,447556,302800,236974,449010,701090,379484,492307,432344,386283,397982,744315,541968,528040,354536,248707,490345,579880,368433,405769,383647,381721,278025,781181,501699,405240,267023,307550,318434,347076,264556,329396,300250,293990,291918,1012946,508931,438334,346201,318057,365223,375908,284708,396618,374063,344967,338277,762194,395314,427814,306140,252557,353017,386003,257653,385095,359131,301978,291780,625734,486469,373632,254981,182048,412146,269208,135966,246651,228544,220669,250110,584400,450477,258924,207796,129015,201971,281890,130743,266091,219304,223242,184018,471635,352612,286810,268972,182830,242121,252090,258770,286201,286733,288320,240123,631903,563969,464819,359117,281654,402630,356557,315466,368067,458879,323656,279692,486382,172103,65845,73300,236161,549567,641176,238516,252805,283130,195726,132709,566576,473810,223321,65533,0,18615,93487,71826,162146,272386,313599,190230,558367,384485,177944,42308,48188,340158,553141,224567,303441,311114,218944,353344,550134,377220,282251,157843,200897,214742,197200,240921,61188018,555南投縣魚池鄉
南投縣,Checheng,國家級風景特定區,Checheng,車埕,Checheng,25061,47768,44832,42307,80570,41400,46168,48886,74955,41823,74198,26073,26367,37129,41184,42833,65647,84180,55471,56508,56540,39547,64758,50815,34528,50674,54934,60781,60781,84534,55122,76156,68513,59986,121644,94223,97629,123280,64099,93970,156407,120204,98164,115254,98824,81001,132816,102722,95778,122002,103825,110366,92856,141491,104212,100181,93406,99935,103341,104348,98865,103880,107039,88205,89023,109733,102777,94982,81929,86820,95056,123238,98238,124363,120709,97796,129889,129264,88083,106701,78458,79244,100307,103396,95924,127310,119277,106380,97052,139812,88271,110979,98537,90135,104218,97751,88294,124232,109370,121319,123557,114298,99504,125903,115434,61538,98576,103626,81968,124916,110042,117185,103944,108815,99478,137678,93767,90764,93395,79292,91965,98794,97266,115396,93601,123628,110833,113979,78147,101633,107435,84279,107074,117613,115908,118749,111240,71339,54643,60236,60201,95353,89060,107379,101859,142713,116893,106185,115471,118377,105466,115984,47043,595,3677,15121,37629,75220,90135,98297,80484,87663,71113,49855,22326,28531,53363,52657,58558,76886,66434,77059,89777,72541,58679,76830,55432,55337,56206,47051,55064,15741805,553南投縣水里鄉
南投縣,Mt. Bagua Scenic Area-Nantou,國家級風景特定區,Mt. Bagua Scenic Area-Nantou,八卦山風景區（南投地區）,Mt. Bagua Scenic Area-Nantou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75400,84801,86228,64954,59270,54169,82754,81790,58463,76587,44111,44096,85016,50118,76574,68511,44856,45559,46560,47901,50809,1328527,551南投縣名間鄉名松路二段181號
